Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source	doi	sex	age_class	within_study_data_source	table_fig_number	title	lastname_author	source_year	journal	X	X.1	X.2
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	6								Micromys minutus	NA	NA	NA	NA	NA	Harvest Mouse	0.003	Wt_or_Vol	7658.2	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	6								Microtus fortis	NA	NA	NA	NA	NA	Reed Vole	0.258	Wt_or_Vol	7658.2	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	6								Tscherskia triton	NA	NA	NA	NA	NA	Greater Long-tailed Hamster	0.06	Wt_or_Vol	7658.2	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	6								Myodes rufocanus	NA	NA	NA	NA	NA	Grey red-backed Vole	0.031	Wt_or_Vol	7658.2	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	6								Tamias sibiricus	NA	NA	NA	NA	NA	Siberian Chipmunk	0.15	Wt_or_Vol	7658.2	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	6								Sciurus vulgaris	NA	NA	NA	NA	NA	Eurasian Red Squirrel	0.04	Wt_or_Vol	7658.2	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	6								Parus major	NA	NA	NA	NA	NA	Great Tit	0.007	Wt_or_Vol	7658.2	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	6								Phoenicurus auroreus	NA	NA	NA	NA	NA	Daurian Redstart	0.003	Wt_or_Vol	7658.2	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	6								Poecile palustris	NA	NA	NA	NA	NA	Marsh Tit	0.001	Wt_or_Vol	7658.2	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	6								Emberiza rustica	NA	NA	NA	NA	NA	Rustic Bunting	0.003	Wt_or_Vol	7658.2	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	6								Pelophylax nigromaculatus	NA	NA	NA	NA	NA	Black-spotted Frog	0.016	Wt_or_Vol	7658.2	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Apodemus agrarius	NA	NA	NA	NA	NA	Striped Field mouse	0.227	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Apodemus peninsulae	NA	NA	NA	NA	NA	Large Field Mouse	0.151	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Mus musculus	NA	NA	NA	NA	NA	House Mouse	0.01	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Rattus norvegicus	NA	NA	NA	NA	NA	Brown rat	0.04	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Micromys minutus	NA	NA	NA	NA	NA	Harvest Mouse	0.003	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Microtus fortis	NA	NA	NA	NA	NA	Reed Vole	0.258	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Tscherskia triton	NA	NA	NA	NA	NA	Greater Long-tailed Hamster	0.06	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Myodes rufocanus	NA	NA	NA	NA	NA	Grey red-backed Vole	0.031	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Tamias sibiricus	NA	NA	NA	NA	NA	Siberian Chipmunk	0.15	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Sciurus vulgaris	NA	NA	NA	NA	NA	Eurasian Red Squirrel	0.04	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Parus major	NA	NA	NA	NA	NA	Great Tit	0.007	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Phoenicurus auroreus	NA	NA	NA	NA	NA	Daurian Redstart	0.003	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Poecile palustris	NA	NA	NA	NA	NA	Marsh Tit	0.001	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Emberiza rustica	NA	NA	NA	NA	NA	Rustic Bunting	0.003	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
Common Kestrel	Falco tinnunculus	NA	Falconaide	eBird Clements checklist v2025	126.65	45.05	200	NA	530	China	Zuojia Natural Reserve	forest;grassland	3	2004	7	2008	spring;summer	7								Pelophylax nigromaculatus	NA	NA	NA	NA	NA	Black-spotted Frog	0.016	Wt_or_Vol	19659.3	NA	41	behavioral observation;prey remains	NA	AP	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	https://doi.org/10.1016/j.pnsc.2009.03.011	NA	adult;chick	Table	2	Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China	Geng	2008	Progress in Natural Science	NA	NA	
